,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
1621326,2017-06-21 08:36:34,2017-06-21 08:44:43,489.066,14th & Belmont St NW,15th & K St NW,Subscriber
482740,2017-03-11 10:40:00,2017-03-11 10:46:00,402.54900000000004,Yuma St & Tenley Circle NW,Connecticut Ave & Yuma St NW,Subscriber
1330037,2017-05-30 01:02:59,2017-05-30 01:13:37,637.251,17th St & Massachusetts Ave NW,5th & K St NW,Subscriber
665458,2017-04-02 07:48:35,2017-04-02 08:19:03,1827.3410000000001,Constitution Ave & 2nd St NW/DOL,M St & Pennsylvania Ave NW,Customer
1481135,2017-06-10 08:36:28,2017-06-10 09:02:17,1549.4270000000001,Henry Bacon Dr & Lincoln Memorial Circle NW,Maine Ave & 7th St SW,Subscriber
1148202,2017-05-14 07:18:18,2017-05-14 07:24:56,398.0,1st & K St SE,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Subscriber
1594275,2017-06-19 08:41:43,2017-06-19 09:00:08,1105.4289999999999,Park Rd & Holmead Pl NW,8th & H St NW,Subscriber
1601832,2017-06-20 05:54:42,2017-06-20 06:05:18,636.2180000000001,1st & D St SE,Potomac & Pennsylvania Ave SE,Subscriber
574182,2017-03-24 20:37:00,2017-03-24 20:42:00,328.53,18th & R St NW,15th & P St NW,Subscriber
327058,2017-02-20 21:12:00,2017-02-20 21:31:00,1188.09,17th & Corcoran St NW,Lynn & 19th St North,Subscriber
854729,2017-04-17 02:50:51,2017-04-17 03:05:17,866.689,37th & O St NW / Georgetown University,37th & O St NW / Georgetown University,Customer
721887,2017-04-08 01:12:48,2017-04-08 01:52:33,2385.411,10th & G St NW,5th St & Massachusetts Ave NW,Customer
143181,2017-01-26 20:01:00,2017-01-26 20:17:00,951.457,10th St & L'Enfant Plaza SW,1st & Rhode Island Ave NW,Subscriber
26953,2017-01-06 17:36:00,2017-01-06 17:43:00,448.62800000000004,North Capitol St & F St NW,1st & M St NE,Subscriber
1308542,2017-05-28 03:50:26,2017-05-28 04:24:26,2039.4720000000002,Henry Bacon Dr & Lincoln Memorial Circle NW,Lincoln Memorial,Customer
1592744,2017-06-19 07:46:35,2017-06-19 07:55:00,505.48199999999997,Metro Center / 12th & G St NW,North Capitol St & G Pl NE,Subscriber
1139713,2017-05-13 11:29:16,2017-05-13 11:55:47,1591.326,16th & Harvard St NW,New York Ave & 15th St NW,Customer
1478516,2017-06-10 06:04:41,2017-06-10 06:32:33,1672.075,17th St & Massachusetts Ave NW,15th & East Capitol St NE,Subscriber
679837,2017-04-03 10:22:19,2017-04-03 10:26:11,231.952,20th & Crystal Dr,6th & S Ball St,Subscriber
1392498,2017-06-03 11:42:54,2017-06-03 12:21:05,2291.4539999999997,22nd & I St NW / Foggy Bottom,Lamont & Mt Pleasant NW,Customer
746605,2017-04-09 11:05:42,2017-04-09 11:26:44,1261.363,Henry Bacon Dr & Lincoln Memorial Circle NW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
868881,2017-04-18 05:42:04,2017-04-18 06:31:28,2964.8179999999998,Anacostia Metro,Congress Heights Metro,Subscriber
1161275,2017-05-15 07:35:21,2017-05-15 07:49:06,825.59,3rd & H St NE,Oklahoma Ave & D St NE,Subscriber
305000,2017-02-19 00:43:00,2017-02-19 00:46:00,226.00599999999997,18th St & Wyoming Ave NW,Calvert St & Woodley Pl NW,Subscriber
1174029,2017-05-16 07:34:43,2017-05-16 07:50:04,920.84,Florida Ave & R St NW,L'Enfant Plaza / 7th & C St SW,Subscriber
1157984,2017-05-15 05:39:22,2017-05-15 06:02:14,1371.5120000000002,Lincoln Memorial,Arlington Blvd & Fillmore St,Subscriber
694527,2017-04-05 01:36:31,2017-04-05 01:40:45,254.076,13th St & New York Ave NW,11th & M St NW,Subscriber
228536,2017-02-08 09:17:00,2017-02-08 09:31:00,834.78,39th & Calvert St NW / Stoddert,Massachusetts Ave & Dupont Circle NW,Subscriber
669432,2017-04-02 12:11:35,2017-04-02 02:15:22,7427.749,2nd St & Massachusetts Ave NE,2nd St & Massachusetts Ave NE,Customer
1036255,2017-05-02 11:49:43,2017-05-02 12:09:09,1165.698,10th & K St NW,Georgetown Harbor / 30th St NW,Subscriber
300879,2017-02-18 15:55:00,2017-02-18 16:22:00,1608.894,Madison & Fairfax St,12th & Army Navy Dr,Customer
1999,2017-01-01 14:40:00,2017-01-01 14:44:00,252.87099999999998,21st & M St NW,18th & R St NW,Subscriber
1737550,2017-06-29 12:45:40,2017-06-29 01:39:39,3238.239,4th St & Madison Dr NW,4th St & Madison Dr NW,Customer
941125,2017-04-25 07:43:56,2017-04-25 08:02:38,1122.6019999999999,17th St & Massachusetts Ave NW,3rd St & Pennsylvania Ave SE,Subscriber
964985,2017-04-27 08:01:58,2017-04-27 08:15:00,782.7819999999999,4th St & Madison Dr NW,18th St & Pennsylvania Ave NW,Subscriber
34042,2017-01-09 12:29:00,2017-01-09 12:48:00,1138.896,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,Shirlington Transit Center / S Quincy & Randolph St,Subscriber
